Mood,song_name,song_uri,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Happy,I'm Good (Blue),spotify:track:4uUG5RXrOk84mYEfFvj3cK,David Guetta,95,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,175238
Happy,I Ain't Worried,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,95,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,148486
Happy,Dance The Night (From Barbie The Album),spotify:track:1vYXt7VSjH9JIM5oRRo7vA,Dua Lipa,94,0.671,0.845,11,-4.93,0,0.048,0.0207,0.0,0.329,0.775,110.056,176579
Happy,Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,94,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040
Happy,Watermelon Sugar,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,92,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000
Happy,Players,spotify:track:6UN73IYd0hZxLi8wFPMQij,Coi Leray,90,0.954,0.516,6,-5.817,1,0.16,0.03,7.54e-06,0.0504,0.624,105.001,139560
Happy,My Stupid Heart,spotify:track:3UZDl7g2r84o1b5marUjfK,Walk off the Earth,79,0.745,0.681,7,-7.91,1,0.0361,0.0696,0.0,0.164,0.613,115.0,160300
Happy,Barbie World (with Aqua) [From Barbie The Album],spotify:track:741UUVE2kuITl0c6zuqqbO,Nicki Minaj,90,0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,109750
Happy,Baby Don't Hurt Me,spotify:track:3BKD1PwArikchz2Zrlp1qi,David Guetta,94,0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944,140018
Happy,Shivers,spotify:track:50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,89,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,207853
Happy,Made You Look,spotify:track:0QHEIqNKsMoOY5urbzN48u,Meghan Trainor,88,0.838,0.525,10,-3.562,1,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,134256
Happy,If We Ever Broke Up,spotify:track:6maTPqynTmrkWIralgGaoP,Mae Stephens,88,0.898,0.732,7,-3.982,1,0.0427,0.621,1.29e-05,0.0908,0.96,115.955,142759
Happy,Uptown Funk (feat. Bruno Mars),spotify:track:32OlwWuMpZ6b0aN2RZOeMS,Mark Ronson,87,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,269667
Happy,Pepas,spotify:track:5fwSHlTEWpluwOM0Sxnh5k,Farruko,87,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120
Happy,Peaches (feat. Daniel Caesar & Giveon),spotify:track:4iJyoBOLtHqaGxP12qzhQI,Justin Bieber,86,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,198082
Happy,THATS WHAT I WANT,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,86,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,143901
Happy,Padam Padam,spotify:track:3k0DJq2HdWJqnqor8NX0ac,Kylie Minogue,85,0.746,0.622,5,-7.923,1,0.241,0.201,0.00113,0.104,0.719,128.101,166267
Happy,Whistle (feat. Calum Scott),spotify:track:4q05KbxYZ5JdkmrletgPjF,Jax Jones,85,0.701,0.88,10,-4.56,0,0.0358,0.182,7.33e-06,0.0649,0.623,124.039,181958
Happy,Queen of Kings,spotify:track:14LdhxElpZS0rKVV4nxtdA,Alessandra,85,0.563,0.908,4,-4.25,0,0.0868,0.0696,0.0,0.328,0.171,125.972,147980
Happy,You Need To Calm Down,spotify:track:6RRNNciQGZEXnqk8SQ9yv5,Taylor Swift,85,0.771,0.671,2,-5.617,1,0.0553,0.00929,0.0,0.0637,0.714,85.026,171360
Happy,Dynamite,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,BTS,85,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054
Happy,Numb,spotify:track:10xV5l9nhLvFpR8mqzs0bL,Marshmello,85,0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,0.632,119.966,155589
Happy,"Happy - From ""Despicable Me 2""",spotify:track:60nZcImufyMA1MKQY3dcCH,Pharrell Williams,84,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019,232720
Happy,Rock My Body,spotify:track:6pb5DtlAeG95dNQLHiArRU,R3HAB,84,0.662,0.821,2,-4.103,0,0.13,0.202,0.0,0.522,0.47,124.077,137419
Happy,2002,spotify:track:2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,84,0.697,0.683,1,-2.881,0,0.117,0.0372,0.0,0.137,0.603,96.133,186987
Happy,Music For a Sushi Restaurant,spotify:track:5LYMamLv12UPbemOaTPyeV,Harry Styles,84,0.72,0.715,11,-4.652,1,0.04,0.258,0.0568,0.107,0.357,107.041,193813
Happy,Sucker,spotify:track:22vgEDb5hykfaTwLuskFGD,Jonas Brothers,84,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,181027
Happy,Sunshine,spotify:track:5r43qanLhUCdBj8HN3fa6B,OneRepublic,84,0.697,0.875,5,-4.621,1,0.034,0.137,0.0,0.28,0.774,140.069,163855
Happy,Kings & Queens,spotify:track:7a53HqqArd4b9NF4XAmlbI,Ava Max,84,0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857,162399
Happy,Green Green Grass,spotify:track:4N5s8lPTsjI9EGP7K4SXzB,George Ezra,84,0.685,0.738,8,-4.413,1,0.0595,0.0695,0.0,0.128,0.8,112.972,167614
Happy,My Universe,spotify:track:3FeVmId7tL5YN8B7R3imoM,Coldplay,84,0.588,0.701,9,-6.39,1,0.0402,0.00813,0.0,0.2,0.443,104.988,228000
Happy,Best Day Of My Life,spotify:track:5Hroj5K7vLpIG4FNCRIjbP,American Authors,83,0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012,194240
Happy,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,spotify:track:4cG7HUWYHBV6R6tHn1gxrl,Riton,83,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,169153
Happy,MONTERO (Call Me By Your Name),spotify:track:1SC5rEoYDGUK4NfG82494W,Lil Nas X,83,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,137704
Happy,Budapest,spotify:track:2ixsaeFioXJmMgkkbd4uj1,George Ezra,84,0.717,0.455,5,-8.303,1,0.0276,0.0846,0.0,0.11,0.389,127.812,200733
Happy,Crazy What Love Can Do,spotify:track:1WCEAGGRD066z2Q89ObXTq,David Guetta,83,0.601,0.713,4,-3.758,0,0.0449,0.0282,0.0,0.158,0.464,122.872,169756
Happy,About Damn Time,spotify:track:1PckUlxKqWQs3RlWXVBLw3,Lizzo,83,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,191822
Happy,Castle on the Hill,spotify:track:6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,83,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,261154
Happy,Bam Bam (feat. Ed Sheeran),spotify:track:0QBzMgT7NIeoCYy3sJCof1,Camila Cabello,83,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,206071
Happy,Heaven,spotify:track:5FQ77Cl1ndljtwwImdtjMy,Niall Horan,83,0.57,0.756,5,-3.394,1,0.0257,0.0497,0.0,0.33,0.72,91.972,186043
Happy,Head & Heart (feat. MNEK),spotify:track:6cx06DFPPHchuUAcTxznu9,Joel Corry,83,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,166028
Happy,Señorita,spotify:track:0TK2YIli7K1leLovkQiNik,Shawn Mendes,82,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,190960
Happy,ME! (feat. Brendon Urie of Panic! At The Disco),spotify:track:2Rk4JlNc2TPmZe2af99d45,Taylor Swift,82,0.61,0.83,0,-4.105,1,0.0571,0.033,0.0,0.118,0.728,182.162,193000
Happy,Hold Me Closer,spotify:track:72yP0DUlWPyH8P7IoxskwN,Elton John,82,0.667,0.75,0,-4.602,1,0.0906,0.0746,0.000198,0.197,0.486,126.041,202246
Happy,Where Did You Go? (feat. MNEK),spotify:track:3sa06xVNmLLYIxdNNmVQN8,Jax Jones,82,0.763,0.782,7,-4.541,0,0.0346,0.182,7.08e-06,0.293,0.502,127.034,177689
Happy,WATATI (feat. Aldo Ranks) [From Barbie The Album],spotify:track:6MZi5j60L80SZLBxN0bv8s,KAROL G,82,0.893,0.851,3,-5.342,0,0.0979,0.145,6.49e-05,0.319,0.959,110.002,166882
Happy,Love Lost,spotify:track:2z9iuAxKv4TTeCrPAxxKg9,Mac Miller,82,0.735,0.812,2,-4.417,1,0.151,0.528,0.0,0.186,0.584,109.829,162876
Happy,Waffle House,spotify:track:5iE3eUH2WGCXcE2xr6DEmU,Jonas Brothers,82,0.729,0.763,10,-4.407,1,0.0363,0.033,1e-06,0.192,0.864,126.002,145441
Happy,Rasputin,spotify:track:0b18g3G5spr4ZCkz7Y6Q0Q,Majestic,82,0.758,0.913,6,-2.926,0,0.113,0.00364,6.92e-05,0.193,0.658,128.04,186210
Happy,OUT OUT (feat. Charli XCX & Saweetie),spotify:track:6Dy1jexKYriXAVG6evyUTJ,Joel Corry,82,0.787,0.833,8,-4.403,1,0.0478,0.018,0.00747,0.0374,0.796,123.97,162604
Happy,Acapulco,spotify:track:3eJH2nAjvNXdmPfBkALiPZ,Jason Derulo,82,0.774,0.792,10,-4.021,1,0.0523,0.051,0.0,0.155,0.507,122.062,139672
Happy,Kiss Me More (feat. SZA),spotify:track:748mdHapucXQri7IAO8yFK,Doja Cat,81,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,208867
Happy,Butter,spotify:track:6jjYDGxVJsWS0a5wlVF5vS,BTS,81,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0788,0.695,109.997,164952
Happy,Shower,spotify:track:3DmW6y7wTEYHJZlLo1r6XJ,Becky G,81,0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,206167
Happy,Better Days (NEIKED x Mae Muller x Polo G),spotify:track:6f5ExP43esnvdKPddwKXJH,NEIKED,81,0.717,0.671,0,-5.077,0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,160657
Happy,2 Be Loved (Am I Ready),spotify:track:2rmwqU7yzTvzkiaRV53DpT,Lizzo,81,0.721,0.769,7,-4.111,1,0.105,0.0922,0.0,0.0817,0.915,155.932,187108
Happy,I'm Not Here To Make Friends,spotify:track:3i0FkJYlU4MFfYkjFHXXAM,Sam Smith,81,0.698,0.895,0,-4.439,1,0.0628,0.172,1.45e-05,0.409,0.838,114.914,229605
Happy,Speed Drive (From Barbie The Album),spotify:track:5VxmI3IdgAxWVvUnJoLuY2,Charli XCX,81,0.652,0.879,0,-6.405,1,0.0784,0.00284,0.0896,0.0918,0.789,173.925,117810
Happy,Don't Start Now,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,Dua Lipa,81,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290
Happy,Remember,spotify:track:4laAKIq9ZxBCwf99rauPYb,Becky Hill,80,0.612,0.862,8,-2.903,1,0.037,0.041,0.0,0.0907,0.354,123.849,160766
Happy,I Don't Care (with Justin Bieber),spotify:track:3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran & Justin Bieber,80,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947
Happy,Summer of Love (Shawn Mendes & Tainy),spotify:track:0z8hI3OPS8ADPWtoCjjLl6,Shawn Mendes,80,0.776,0.808,11,-4.501,1,0.117,0.0297,0.000127,0.103,0.494,123.988,184104
Happy,Alone (with Nicki Minaj),spotify:track:7kOletJ0Q5H4MWe7cfeZXP,Kim Petras,80,0.681,0.513,3,-6.643,0,0.0388,0.069,0.0,0.125,0.167,136.985,185113
Happy,My Head & My Heart,spotify:track:1KixkQVDUHggZMU9dUobgm,Ava Max,80,0.614,0.934,9,-3.709,0,0.07,0.0697,0.0,0.121,0.436,116.001,174760
Happy,Heartbreak Anthem (with David Guetta & Little Mix),spotify:track:5K6Ssv4Z3zRvxt0P6EKUAP,Galantis,79,0.595,0.784,1,-4.878,1,0.102,0.216,0.0,0.0608,0.479,124.111,183726
Happy,I Forgot That You Existed,spotify:track:43rA71bccXFGD4C8GOpIlN,Taylor Swift,79,0.664,0.316,5,-10.345,1,0.519,0.298,2.03e-06,0.0812,0.541,92.875,170640
Happy,Higher Love,spotify:track:6oJ6le65B3SEqPwMRNXWjY,Kygo,79,0.693,0.678,8,-7.159,1,0.0324,0.0151,5.71e-06,0.101,0.404,103.952,228267
Happy,Dancing In The Moonlight (feat. NEIMY),spotify:track:4GSDkZt7GcmzBWmsMcpaVO,Jubël,79,0.659,0.615,11,-5.865,0,0.0644,0.27,0.0,0.187,0.193,119.843,164010
Happy,Take You Dancing,spotify:track:59qrUpoplZxbIZxk6X0Bm3,Jason Derulo,79,0.789,0.711,2,-4.248,1,0.041,0.0332,0.0,0.0876,0.753,112.985,190306
Happy,4runner,spotify:track:1RaF9xwakfao1RRknWyYB5,Brenn!,79,0.792,0.518,1,-10.519,1,0.0847,0.326,0.000182,0.406,0.512,128.025,265454
Happy,Lottery (feat. LU KALA),spotify:track:1JUtrCqYzJ80tcAzMbCvir,Latto,79,0.792,0.874,1,-2.966,1,0.0852,0.0158,0.000365,0.071,0.934,113.969,186762
Happy,Car Keys (Ayla),spotify:track:00E0Z2jrF7reoHps4zcbWQ,Alok,79,0.675,0.986,9,-4.606,0,0.0974,0.0868,4.96e-06,0.128,0.57,126.004,146501
Happy,Fancy Like,spotify:track:58UKC45GPNTflCN6nwCUeF,Walker Hayes,79,0.647,0.765,1,-6.459,1,0.06,0.111,0.0,0.315,0.855,79.994,161853
Happy,3 Nights,spotify:track:1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,79,0.815,0.518,7,-6.594,0,0.0897,0.223,0.0,0.104,0.877,151.891,177667
Happy,Love Grows (Where My Rosemary Goes),spotify:track:5Ts1DYOuouQLgzTaisxWYh,Edison Lighthouse,79,0.568,0.824,9,-4.613,1,0.0299,0.403,0.0,0.0855,0.753,108.625,174760
Happy,Dance Monkey,spotify:track:2N8m6CYs74qQO4mjVcXO30,Tones And I,78,0.824,0.587,6,-6.401,0,0.0937,0.69,0.000105,0.149,0.514,98.029,209438
Happy,AOK,spotify:track:1sx0XsWUusUoPstbvokZjP,Tai Verdes,78,0.731,0.626,11,-6.919,1,0.0805,0.125,0.0,0.183,0.862,82.488,173640
Happy,Hot In It,spotify:track:3Z7CaxQkqbIs1rewKi6v4W,Tiësto,78,0.748,0.841,7,-5.08,1,0.177,0.00445,1.33e-06,0.0413,0.717,123.045,129817
Happy,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",spotify:track:1WkMMavIMc4JZ8cfMmxHkI,Justin Timberlake,78,0.669,0.832,0,-5.721,1,0.0682,0.0106,0.0,0.0968,0.7,113.035,237547
Happy,Put Your Records On,spotify:track:6AGOKlMZWLCaEJGnaROtF9,Ritt Momney,78,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,210463
