Mood,song_name,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,song_uri
Happy,I'm Good (Blue),David Guetta,84.0,0.561,0.965,7.0,-3.673,0.0,0.0343,0.00383,7.07e-06,0.194,0.304,128.04,2.9206333333333334,spotify:track:4uUG5RXrOk84mYEfFvj3cK
Happy,I Ain't Worried,OneRepublic,84.0,0.704,0.797,0.0,-5.927,1.0,0.0475,0.0826,2.7275e-05,0.0546,0.825,139.994,2.4747666666666666,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB
Happy,Dance The Night (From Barbie The Album),Dua Lipa,84.0,0.671,0.845,11.0,-4.93,0.0,0.048,0.0207,0.0,0.329,0.775,110.056,2.9429833333333333,spotify:track:1vYXt7VSjH9JIM5oRRo7vA
Happy,Blinding Lights,The Weeknd,84.0,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,2.7275e-05,0.0897,0.334,127.845,3.334,spotify:track:0VjIjW4GlUZAMYd2vXMi3b
Happy,Watermelon Sugar,Harry Styles,84.0,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,2.9,spotify:track:6UelLqGlWMcVH1E5c4H7lY
Happy,Players,Coi Leray,90.0,0.954,0.516,6.0,-5.817,1.0,0.16,0.03,7.54e-06,0.0504,0.624,105.001,2.326,spotify:track:6UN73IYd0hZxLi8wFPMQij
Happy,My Stupid Heart,Walk off the Earth,79.0,0.745,0.681,7.0,-7.91,1.0,0.0361,0.0696,0.0,0.164,0.613,115.0,2.671666666666667,spotify:track:3UZDl7g2r84o1b5marUjfK
Happy,Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,90.0,0.77,0.58,0.0,-8.393,1.0,0.093975,0.182,2.7275e-05,0.233,0.753,144.072,1.8291666666666666,spotify:track:741UUVE2kuITl0c6zuqqbO
Happy,Baby Don't Hurt Me,David Guetta,84.0,0.602,0.91,7.0,-3.404,1.0,0.0308,0.00126,2.7275e-05,0.12,0.228,127.944,2.3336333333333332,spotify:track:3BKD1PwArikchz2Zrlp1qi
Happy,Shivers,Ed Sheeran,89.0,0.788,0.859,2.0,-2.724,1.0,0.0856,0.281,0.0,0.0424,0.822,141.02,3.4642166666666667,spotify:track:50nfwKoDiSYg8zOCREWAm5
Happy,Made You Look,Meghan Trainor,88.0,0.838,0.525,10.0,-3.562,1.0,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,2.2376,spotify:track:0QHEIqNKsMoOY5urbzN48u
Happy,If We Ever Broke Up,Mae Stephens,88.0,0.898,0.732,7.0,-3.982,1.0,0.0427,0.182,1.29e-05,0.0908,0.96,115.955,2.3793166666666665,spotify:track:6maTPqynTmrkWIralgGaoP
Happy,Uptown Funk (feat. Bruno Mars),Mark Ronson,87.0,0.856,0.609,0.0,-7.223,1.0,0.0824,0.00801,2.7275e-05,0.0344,0.928,114.988,3.3054166666666664,spotify:track:32OlwWuMpZ6b0aN2RZOeMS
Happy,Pepas,Farruko,87.0,0.762,0.766,7.0,-3.955,1.0,0.0343,0.00776,2.7275e-05,0.128,0.442,130.001,3.3054166666666664,spotify:track:5fwSHlTEWpluwOM0Sxnh5k
Happy,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,86.0,0.677,0.696,0.0,-6.181,1.0,0.119,0.321,0.0,0.194,0.464,90.03,3.3013666666666666,spotify:track:4iJyoBOLtHqaGxP12qzhQI
Happy,THATS WHAT I WANT,Lil Nas X,86.0,0.737,0.846,1.0,-4.51,0.0,0.093975,0.00614,0.0,0.0486,0.546,87.981,2.39835,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO
Happy,Padam Padam,Kylie Minogue,85.0,0.746,0.622,5.0,-7.923,1.0,0.093975,0.201,2.7275e-05,0.104,0.719,128.101,2.7711166666666665,spotify:track:3k0DJq2HdWJqnqor8NX0ac
Happy,Whistle (feat. Calum Scott),Jax Jones,85.0,0.701,0.88,10.0,-4.56,0.0,0.0358,0.182,7.33e-06,0.0649,0.623,124.039,3.0326333333333335,spotify:track:4q05KbxYZ5JdkmrletgPjF
